precio20;precio21;titulo_x;metros;planta;tipo_vivienda;n_banos;n_habitaciones;barrio;ciudad_x;renta_media_barrio_persona_x;descripcion;titulo_y;dist_centro;long;lat;long_;lat_;desc;True;ascensor;garaje;trastero;evol_precio
120000;120000;Piso en venta en Las Villas-Covaresa-Parque Alameda-La Rubia en Las Villas-Covaresa-Parque Alameda-La Rubia por 120.000 €;50;2;Apartamento;1;1;Las Villas-Covaresa-Parque Alameda-La Rubia (Valladolid Capital);Valladolid;24575.0;Apartamento en venta  “Residencial Profuturo”, PARA MAYORES DE 50 AÑOS, ubicado en la zona del Camino Viejo de Simancas de Valladolid, concretamente en calle Barcelona. Se trata de un complejo residencial de viviendas adaptadas para mayores de 50 años y quienes con ellos convivan. El apartamento dispone de 50 m2 construidos distribuido en un gran salón, cocina americana equipada con electrodomésticos, un dormitorio con armario empotrado y un baño completo con ducha adaptada. La vivienda en alquiler se ofrece totalmente amueblada..  El diste de calefacción está centralizado con contadores individuales, cuenta con suelos de tarima de haya, puertas interiores de haya, ventanas oscilobatientes de aluminio lacado en gris. Además se ofrece con un trastero situado en el sótano del edificio. Los gastos de comunidad incluye: limpieza del apartamento una vez al mes, wi-fi, servicio puntual de médico, enfermera y fisioterapeuta, vigilancia 24 horas, alarma conectada con administración, gimnasio, biblioteca, salón de juegos, actividades religiosas y de ocio. Este complejo residencial Profuturo, que hemos tenido el privilegio de comercializar en su totalidad en su proceso de construcción, es desde su entrega en el año 2011 un referente y modelo de vida, para aquellas personas mayores de 50 años que deseen tener la intimidad de tu propio hogar y la compañía y convivencia con personas similares dentro del mismo entorno. Muy alta calidad y gran nivel de confort. ¿Quieres conocerlo? Llámanos al 983.29.22.88 o rellena el formulario que encontrarás aquí debajo. Ponte en contacto con nosotros y te proporcionaremos toda la información que necesites sobre esta y otras ofertas de pisos en alquiler y/o venta en Valladolid y alrededores.;Piso en Las Villas-Covaresa-Parque Alameda-La Rubia;4.066042130799416;None;None;-4.758499;41.6230774;Apartamento en venta  “Residencial Profuturo”, PARA MAYORES DE 50 AÑOS, ubicado en la zona del Camino Viejo de Simancas de Valladolid, concretamente en calle Barcelona. Se trata de un complejo residencial de viviendas adaptadas para mayores de 50 años y quienes con ellos convivan. El apartamento dispone de 50 m2 construidos distribuido en un gran salón, cocina americana equipada con electrodomésticos, un dormitorio con armario empotrado y un baño completo con ducha adaptada.<br/> El diste de calefacción está centralizado con contadores individuales, cuenta con suelos de tarima de haya, puertas interiores de haya, ventanas oscilobatientes de aluminio lacado en gris. Además se ofrece con un trastero situado en el sótano del edificio. Los gastos de comunidad incluye: limpieza del apartamento una vez al mes, wi-fi, servicio puntual de médico, enfermera y fisioterapeuta, vigilancia 24 horas, alarma conectada con administración, gimnasio, biblioteca, salón de juegos, actividades religiosas y de ocio. Este complejo residencial Profuturo, que hemos tenido el privilegio de comercializar en su totalidad en su proceso de construcción, es desde su entrega en el año 2011 un referente y modelo de vida, para aquellas personas mayores de 50 años que deseen tener la intimidad de tu propio hogar y la compañía y convivencia con personas similares dentro del mismo entorno. Muy alta calidad y gran nivel de confort. ¿Quieres conocerlo? Llámanos al 983.29.22.88 o rellena el formulario que encontrarás aquí debajo. Ponte en contacto con nosotros y te proporcionaremos toda la información que necesites sobre esta y otras ofertas de pisos en alquiler y/o venta en Valladolid y alrededores.;both;1;1;1;0
560000;560000;Piso en venta en Calle de María de Molina, nº 26 en Centro por 560.000 €;227;6-10;Piso;2;7;Centro (Valladolid Capital);Valladolid;32596.0;Amplísimo piso, 227 m2 construidos. Para reformar entero pero muchas posibilidades. Buena altura. Excelentes vistas a Paseo Zorrilla. Trastero arriba. Garaje;Piso en calle de María de Molina;0.4399110457250444;None;None;-4.7300642999999996;41.6481788;Amplísimo piso, 227 m2 construidos. Para reformar entero pero muchas posibilidades. Buena altura. Excelentes vistas a Paseo Zorrilla. Trastero arriba. Garaje;both;1;1;1;0
255000;255000;Ático en venta en Calle del Puente Colgante, cerca de Calle de los Toreros en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 255.000 €;125;6-10;Ático;2;4;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;ALARIFES INMOBILIARIA. Venta de Ático en calle puente colgante de 110 metros útiles distribuidos en: hall, salón de 21 metros, cuatro dormitorios, cocina, baño completo y aseo. Tiene una una gran terraza de 50 m2, con unas vistas fabulosas a la ciudad. La vivienda tiene mucha claridad en todas sus estancias. Dentro del precio de la vivienda esta incluida una plaza de garaje en paseo de Zorrilla y trastero de unos siete metros en la misma planta que el ático.La vivienda está para reformar, con muchas posibilidades de distribución. El portal esta totalmente reformado, sin barreras arquitectónicas.El edificio dispone de dos ascensores. La calefacción que es central con contadores individuales.Se encuentra situado en una zona muy cercano a la estación de autobuses y estación de tren. Cuenta con todos los servicios de pequeños comercios, supermercados, parques, colegios, centro de salud y junto a Campo Grande. Para más información o concertar una visita, mi nombre es María 671 455 677. Buen día..;Ático en calle del Puente Colgante, cerca de Calle de los Toreros;1.2141796633018551;-4,7355474;41,6409568;-4.7312685;41.6412311;ALARIFES INMOBILIARIA. Venta de Ático con gran terraza, en calle Puente ColganteTiene una superficie de 110 metro útiles. Su distribución es la siguiente hall, salón de 21 metros, cuatro dormitorios, cocina, baño completo y aseo. Tiene una una gran terraza de 50 m2, con unas vistas fabulosas a la ciudad. La vivienda tiene mucha claridad en todas sus estancias. Dentro del precio de la vivienda esta incluida una plaza de garaje en paseo de Zorrilla y trastero de unos siete metros en la misma planta que el ático.La vivienda está para reformar, con muchas posibilidades de distribución. El portal esta totalmente reformado, sin barreras arquitectónicas.El edificio dispone de dos ascensores. La calefacción que es central con contadores individuales.Se encuentra situado en una zona muy cercano a la estación de autobuses y estación de tren. Cuenta con todos los servicios de pequeños comercios, supermercados, parques, colegios, centro de salud y junto a Campo Grande. Para más información o concertar una visita. Para más información o concertar una visita mi nombre es María. 671 455 677. Buen día..;both;1;1;1;0
255000;255000;Ático en venta en Calle del Puente Colgante, cerca de Calle de los Toreros en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 255.000 €;125;6-10;Ático;2;4;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;ALARIFES INMOBILIARIA. Venta de Ático en calle puente colgante de 110 metros útiles distribuidos en: hall, salón de 21 metros, cuatro dormitorios, cocina, baño completo y aseo. Tiene una una gran terraza de 50 m2, con unas vistas fabulosas a la ciudad. La vivienda tiene mucha claridad en todas sus estancias. Dentro del precio de la vivienda esta incluida una plaza de garaje en paseo de Zorrilla y trastero de unos siete metros en la misma planta que el ático.La vivienda está para reformar, con muchas posibilidades de distribución. El portal esta totalmente reformado, sin barreras arquitectónicas.El edificio dispone de dos ascensores. La calefacción que es central con contadores individuales.Se encuentra situado en una zona muy cercano a la estación de autobuses y estación de tren. Cuenta con todos los servicios de pequeños comercios, supermercados, parques, colegios, centro de salud y junto a Campo Grande. Para más información o concertar una visita, mi nombre es María 671 455 677. Buen día..;Ático en calle del Puente Colgante;1.2141796633018551;None;None;-4.7312685;41.6412311;Ático con amplísima y espectacular terraza en la Calle Puente Colgante. Muy bien situado, muy cerca del Paseo de Zorrilla y de las estaciones de tren y autobús. Piso de unos 125 metros construidos y 110 metros útiles. 4 dormitorios. 1 baño, 1 aseo. Salon no independiente (sale 1 dormitorio del mismo). Cocina amueblada simple. Calefaccion central con contador individual en cada radiador. Terraza de 50 metros con orientación sur. Muy luminoso. Para reformar, con muchas posibilidades para dejar una vivienda de lujoCON plaza de garaje en el Paseo de Zorrilla en el parking de concesión. CON trastero en la misma planta de la vivienda. CON 2 ascensores. Carpinterias: interior de madera blanca, exterior de aluminio y hierro. Suelos de terrazo, madera y moqueta. El edificio ya ha pasado la ITE, y se ha renovado e impermeabilizado por completo el tejado y las terrazas. Portal accesible para personas con movilidad reducida mediante rampa. Ninguna derrama pendientePosibilidad de adquirir sin plaza de garaje, descontando su valoración actual según el Ayuntamiento de Valladolid. También existe la posibilidad de adquirir otra plaza de garaje, muy amplia, en la Calle Catalina Adulce..;both;1;1;1;0
290000;255000;Ático en venta en Calle del Puente Colgante en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 290.000 €;125;6-10;Ático;2;4;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;Piso de unos 110 metros utile (plano de la propiedad). 4 habitaciones. 1 baño, 1 aseo. Salon no independiente. Cocina amueblada simple. Calefaccion central. Terraza 50 metros. Para reformarCON garaje en Paseo Zorrilla. CON trastero. CON ascensor. CON puerta de seguridadCarpinterias: interior madera blanca, exterior aluminio y hierro. Suelos parquetPresupuesto de reforma en 25.000 eurosComunidad: 86..;Ático en calle del Puente Colgante, cerca de Calle de los Toreros;1.2141796633018551;-4,7355474;41,6409568;-4.7312685;41.6412311;ALARIFES INMOBILIARIA. Venta de Ático con gran terraza, en calle Puente ColganteTiene una superficie de 110 metro útiles. Su distribución es la siguiente hall, salón de 21 metros, cuatro dormitorios, cocina, baño completo y aseo. Tiene una una gran terraza de 50 m2, con unas vistas fabulosas a la ciudad. La vivienda tiene mucha claridad en todas sus estancias. Dentro del precio de la vivienda esta incluida una plaza de garaje en paseo de Zorrilla y trastero de unos siete metros en la misma planta que el ático.La vivienda está para reformar, con muchas posibilidades de distribución. El portal esta totalmente reformado, sin barreras arquitectónicas.El edificio dispone de dos ascensores. La calefacción que es central con contadores individuales.Se encuentra situado en una zona muy cercano a la estación de autobuses y estación de tren. Cuenta con todos los servicios de pequeños comercios, supermercados, parques, colegios, centro de salud y junto a Campo Grande. Para más información o concertar una visita. Para más información o concertar una visita mi nombre es María. 671 455 677. Buen día..;both;1;1;1;35000
290000;255000;Ático en venta en Calle del Puente Colgante en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 290.000 €;125;6-10;Ático;2;4;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;Piso de unos 110 metros utile (plano de la propiedad). 4 habitaciones. 1 baño, 1 aseo. Salon no independiente. Cocina amueblada simple. Calefaccion central. Terraza 50 metros. Para reformarCON garaje en Paseo Zorrilla. CON trastero. CON ascensor. CON puerta de seguridadCarpinterias: interior madera blanca, exterior aluminio y hierro. Suelos parquetPresupuesto de reforma en 25.000 eurosComunidad: 86..;Ático en calle del Puente Colgante;1.2141796633018551;None;None;-4.7312685;41.6412311;Ático con amplísima y espectacular terraza en la Calle Puente Colgante. Muy bien situado, muy cerca del Paseo de Zorrilla y de las estaciones de tren y autobús. Piso de unos 125 metros construidos y 110 metros útiles. 4 dormitorios. 1 baño, 1 aseo. Salon no independiente (sale 1 dormitorio del mismo). Cocina amueblada simple. Calefaccion central con contador individual en cada radiador. Terraza de 50 metros con orientación sur. Muy luminoso. Para reformar, con muchas posibilidades para dejar una vivienda de lujoCON plaza de garaje en el Paseo de Zorrilla en el parking de concesión. CON trastero en la misma planta de la vivienda. CON 2 ascensores. Carpinterias: interior de madera blanca, exterior de aluminio y hierro. Suelos de terrazo, madera y moqueta. El edificio ya ha pasado la ITE, y se ha renovado e impermeabilizado por completo el tejado y las terrazas. Portal accesible para personas con movilidad reducida mediante rampa. Ninguna derrama pendientePosibilidad de adquirir sin plaza de garaje, descontando su valoración actual según el Ayuntamiento de Valladolid. También existe la posibilidad de adquirir otra plaza de garaje, muy amplia, en la Calle Catalina Adulce..;both;1;1;1;35000
360000;360000;Apartamento en venta en Paseo de Zorrilla, nº 24 en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 360.000 €;172;4;Piso;2;5;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;Estupendo piso en valladolid al principio de paseo zorrilla, con vistas exclusivas al campo grande, junto a la plaza zorrilla, y a escasos minutos a pie de la plaza mayor. Es una cuarta planta con 2 ascensores, y el inmueble tiene una superficie útil de 172 m² construidos y una superficie útil de 150 m².la vivienda se distribuye en un amplio hall, con un salón comedor de 40 metros. Tiene 5 dormitorios, con armarios empotrados.consta de 1 baño completo con bañera y un aseo.actualmente la distribución es buena aunque tiene muchas posibilidades de modificar y diseñar. La vivienda está para reformar. Es exterior con una amplia terraza y con vistas al paseo zorrilla y campo grande en el salón y uno de los dormitorios.el portal está adaptado con elevador, zonas comunes recientemente reformadas sin barreras arquitectónicas.para más información o concertar una visita, mi nombre es maría. Tf. 671 455 677. Buen día. Precio negociable. Se aceptan ofertas..;Apartamento en Paseo de Zorrilla, nº 24;0.7013216022532431;-4,7330481;41,6461382;-4.7321025;41.6462515;Estupendo piso en valladolid al principio de paseo zorrilla, con vistas exclusivas al campo grande, junto a la plaza zorrilla, y a escasos minutos a pie de la plaza mayor. Es una cuarta planta con 2 ascensores, y el inmueble tiene una superficie útil de 172 m² construidos y una superficie útil de 150 m².la vivienda se distribuye en un amplio hall, con un salón comedor de 40 metros. Tiene 5 dormitorios, con armarios empotrados.consta de 1 baño completo con bañera y un aseo.actualmente la distribución es buena aunque tiene muchas posibilidades de modificar y diseñar. La vivienda está para reformar. Es exterior con una amplia terraza y con vistas al paseo zorrilla y campo grande en el salón y uno de los dormitorios.el portal está adaptado con elevador, zonas comunes recientemente reformadas sin barreras arquitectónicas.para más información o concertar una visita, mi nombre es maría. Tf. 671 455 677. Buen día. Precio negociable. Se aceptan ofertas..;both;1;0;0;0
360000;360000;Apartamento en venta en Paseo de Zorrilla, nº 24 en Paseo Zorrilla-Campo Grande-Cuatro de Marzo por 360.000 €;172;4;Piso;2;5;Paseo Zorrilla-Campo Grande-Cuatro de Marzo (Valladolid Capital);Valladolid;25654.0;Magnifico Piso en Valladolid al principio de Paseo Zorrilla, justo enfrente del Parque Campo Grande (el Pulmón de la Ciudad), junto a la Academia de Caballería y la Plaza Zorrilla, y a tan sólo 8 minutos a pie de la Plaza Mayor. Cuenta con vistas exclusivas al Campo grande, en la mejor zona de Valladolid. PRECIO NEGOCIABLE. SE ACEPTAN OFERTAS.Es una cuarta planta con 2 ascensores, y el inmueble tiene una superficie útil de 172 m2 construidos y una superficie útil de 150 m2.La vivienda se distribuye en un amplio Hall, con un salón comedor de 40 metros. Tiene 5 dormitorios con armarios empotrados y 2 baños, uno es completo con bañera y otro es un aseo.La vivienda está para reformar y actualizar. Actualmente la distribución es buena aunque tiene muchas posibilidades de modificar y diseñar otra distribución debido a la amplitud de la vivienda.Es exterior con una Amplia Terraza y con vistas al Paseo Zorrilla y Campo Grande en el salón y uno de los dormitorios.El Portal está adaptado con elevador, zonas comunes recientemente reformadas sin barreras arquitectónicas.Vivirás en un lugar privilegiado para vivir disfrutando de espacio, de luz y maravillosas vistas. Si están buscado amplia vivienda céntrica esta es su oportunidad con una inmejorable situación.Si desea más información, o concertar hora para visitarlo sin compromiso, no dude en ponerse en contacto con nosotros..;Apartamento en Paseo de Zorrilla, nº 24;0.7013216022532431;-4,7330481;41,6461382;-4.7321025;41.6462515;Estupendo piso en valladolid al principio de paseo zorrilla, con vistas exclusivas al campo grande, junto a la plaza zorrilla, y a escasos minutos a pie de la plaza mayor. Es una cuarta planta con 2 ascensores, y el inmueble tiene una superficie útil de 172 m² construidos y una superficie útil de 150 m².la vivienda se distribuye en un amplio hall, con un salón comedor de 40 metros. Tiene 5 dormitorios, con armarios empotrados.consta de 1 baño completo con bañera y un aseo.actualmente la distribución es buena aunque tiene muchas posibilidades de modificar y diseñar. La vivienda está para reformar. Es exterior con una amplia terraza y con vistas al paseo zorrilla y campo grande en el salón y uno de los dormitorios.el portal está adaptado con elevador, zonas comunes recientemente reformadas sin barreras arquitectónicas.para más información o concertar una visita, mi nombre es maría. Tf. 671 455 677. Buen día. Precio negociable. Se aceptan ofertas..;both;1;0;0;0
352350;320000;Piso en venta en Centro en Centro por 352.350 €;154;6-10;Piso;2;5;Centro (Valladolid Capital);Valladolid;32596.0;Fantástica vivienda familiar, en la Cúpula del Milenio. La vivienda está distribuida en cinco dormitorios, uno de los dormitorios con baño incorporado,  salón- comedor con chimenea y terraza, gran cocina con zona de lavandería. Además de plaza de garaje y trastero, la vivienda tiene unas inmejorables vistas con zonas comunes en la parcela. La vivienda cuenta con una participación en un inmueble y varios locales propiedad de la comunidad. ¿Quieres visitarla? No pierdas un segundo y contacta con nosotros llamando al 983.29.22.88 o rellena el formulario que encontrarás aquí debajo. Ponte en contacto con agcinmo y te proporcionaremos toda la información que necesites sobre esta y otras ofertas de vivienda en alquiler en Valladolid y alrededores.;Piso en Centro;0.305122011107909;None;None;-4.728921499999999;41.6492367;Fantástica vivienda familiar, en la Cúpula del Milenio. La vivienda está distribuida en cinco dormitorios, uno de los dormitorios con baño incorporado,  salón- comedor con chimenea y terraza, gran cocina con zona de lavandería. Además de plaza de garaje y trastero, la vivienda tiene unas inmejorables vistas con zonas comunes en la parcela. La vivienda cuenta con una participación en un inmueble y varios locales propiedad de la comunidad. ¿Quieres visitarla? No pierdas un segundo y contacta con nosotros llamando al 983.29.22.88 o rellena el formulario que encontrarás aquí debajo. Ponte en contacto con agcinmo y te proporcionaremos toda la información que necesites sobre esta y otras ofertas de vivienda en alquiler en Valladolid y alrededores.;both;1;1;1;32350
145000;145000;Piso en venta en Calle de Vegafría,  13 en Las Delicias por 145.000 €;103;2;Piso;2;2;Las Delicias (Valladolid Capital);Valladolid;18614.0;2º B VT4. Piso en una finca de obra nueva de 103 m2 de superficie construida y emplazado en la zona de Valladolid Capital, posicionado en planta 2. Está dispuesto en 2 habitaciones y 2 baños completos. Cuenta como extras ascensor, garaje.;Piso en calle de Vegafría,  13;1.606386954612884;-4,7248247;41,6379941;-4.7242964999999995;41.637856799999994;2º B VT4. Piso en una finca de obra nueva de 103 m2 de superficie construida y emplazado en la zona de Valladolid Capital, posicionado en planta 2. Está dispuesto en 2 habitaciones y 2 baños completos. Cuenta como extras ascensor, garaje.;both;1;1;0;0
